,X,Y,Z
0,-52.902,239.458,2.276
1,-53.558,246.002,2.505
2,-54.061,252.109,3.601
3,-54.745,258.33,6.143
4,-55.068,262.253,10.31
5,-60.015,238.835,2.276
6,-60.649,245.168,2.496
7,-61.189,251.693,3.662
8,-61.78,257.142,5.866
9,-62.18,261.814,10.775
10,-43.985,240.238,14.309
11,-45.054,246.802,14.309
12,-46.736,253.081,14.309
13,-49.433,259.273,14.309
14,-46.125,240.051,7.496
15,-47.129,246.246,7.496
16,-48.811,252.525,7.496
17,-68.905,238.058,14.33
18,-68.992,244.708,14.33
19,-68.426,251.183,14.33
20,-66.846,257.75,14.33
21,-66.765,238.245,7.516
22,-66.852,244.521,7.516
23,-66.285,250.996,7.516
24,-43.419,233.763,14.309
25,-45.559,233.575,7.496
26,-52.336,232.983,2.276
27,-59.448,232.36,2.276
28,-66.198,231.77,7.516
29,-68.338,231.582,14.33
30,-59.663,194.146,1.738
31,-60.072,198.828,1.738
32,-60.482,203.51,1.738
33,-60.892,208.192,1.738
34,-54.981,194.556,1.738
35,-55.39,199.238,1.738
36,-55.8,203.92,1.738
37,-56.209,208.602,1.738
38,-50.298,194.965,1.738
39,-50.708,199.648,1.738
40,-51.118,204.33,1.738
41,-51.527,209.012,1.738
42,-45.616,195.375,1.738
43,-46.026,200.057,1.738
44,-46.436,204.739,1.738
45,-46.845,209.421,1.738
46,-43.108,165.881,1.738
47,-42.699,161.199,1.738
48,-42.289,156.517,1.738
49,-41.879,151.835,1.738
50,-47.79,165.472,1.738
51,-47.381,160.79,1.738
52,-46.971,156.108,1.738
53,-46.561,151.425,1.738
54,-52.472,165.062,1.738
55,-52.063,160.38,1.738
56,-51.653,155.698,1.738
57,-51.244,151.016,1.738
58,-57.155,164.653,1.738
59,-56.745,159.97,1.738
60,-56.335,155.288,1.738
61,-55.926,150.606,1.738
62,-52.69,114.451,1.738
63,-53.1,119.133,1.738
64,-53.509,123.815,1.738
65,-53.919,128.497,1.738
66,-48.008,114.86,1.738
67,-48.418,119.542,1.738
68,-48.827,124.224,1.738
69,-49.237,128.907,1.738
70,-43.326,115.27,1.738
71,-43.736,119.952,1.738
72,-44.145,124.634,1.738
73,-44.555,129.316,1.738
74,-38.644,115.679,1.738
75,-39.053,120.362,1.738
76,-39.463,125.044,1.738
77,-39.873,129.726,1.738
78,3.57,241.95,2.276
79,3.487,248.527,2.505
80,3.518,254.654,3.601
81,3.379,260.911,6.143
82,3.399,264.847,10.31
83,-3.57,241.95,2.276
84,-3.65,248.314,2.496
85,-3.619,254.861,3.662
86,-3.733,260.34,5.866
87,-3.724,265.03,10.775
88,12.521,241.95,14.309
89,12.028,248.582,14.309
90,10.9,254.984,14.309
91,8.753,261.388,14.309
92,10.373,241.95,7.496
93,9.913,248.209,7.496
94,8.784,254.611,7.496
95,-12.494,241.95,14.33
96,-12.001,248.582,14.33
97,-10.872,254.984,14.33
98,-8.726,261.388,14.33
99,-10.346,241.95,7.516
100,-9.885,248.209,7.516
101,-8.757,254.611,7.516
102,12.521,235.45,14.309
103,10.373,235.45,7.496
104,3.57,235.45,2.276
105,-3.57,235.45,2.276
106,-10.346,235.45,7.516
107,-12.494,235.45,14.33
108,-7.114,197.4,1.738
109,-7.114,202.1,1.738
110,-7.114,206.8,1.738
111,-7.114,211.5,1.738
112,-2.414,197.4,1.738
113,-2.414,202.1,1.738
114,-2.414,206.8,1.738
115,-2.414,211.5,1.738
116,2.286,197.4,1.738
117,2.286,202.1,1.738
118,2.286,206.8,1.738
119,2.286,211.5,1.738
120,6.986,197.4,1.738
121,6.986,202.1,1.738
122,6.986,206.8,1.738
123,6.986,211.5,1.738
124,6.914,167.8,1.738
125,6.914,163.1,1.738
126,6.914,158.4,1.738
127,6.914,153.7,1.738
128,2.214,167.8,1.738
129,2.214,163.1,1.738
130,2.214,158.4,1.738
131,2.214,153.7,1.738
132,-2.486,167.8,1.738
133,-2.486,163.1,1.738
134,-2.486,158.4,1.738
135,-2.486,153.7,1.738
136,-7.186,167.8,1.738
137,-7.186,163.1,1.738
138,-7.186,158.4,1.738
139,-7.186,153.7,1.738
140,-7.114,117.4,1.738
141,-7.114,122.1,1.738
142,-7.114,126.8,1.738
143,-7.114,131.5,1.738
144,-2.414,117.4,1.738
145,-2.414,122.1,1.738
146,-2.414,126.8,1.738
147,-2.414,131.5,1.738
148,2.286,117.4,1.738
149,2.286,122.1,1.738
150,2.286,126.8,1.738
151,2.286,131.5,1.738
152,6.986,117.4,1.738
153,6.986,122.1,1.738
154,6.986,126.8,1.738
155,6.986,131.5,1.738
156,60.015,238.835,2.276
157,60.505,245.394,2.505
158,61.07,251.496,3.601
159,61.477,257.741,6.143
160,61.84,261.661,10.31
161,52.902,239.458,2.276
162,53.377,245.804,2.496
163,53.979,252.324,3.662
164,54.342,257.792,5.866
165,54.76,262.463,10.775
166,68.932,238.055,14.309
167,69.019,244.705,14.309
168,68.453,251.181,14.309
169,66.873,257.748,14.309
170,66.792,238.243,7.496
171,66.879,244.518,7.496
172,66.312,250.993,7.496
173,44.012,240.236,14.33
174,45.081,246.8,14.33
175,46.763,253.078,14.33
176,49.46,259.271,14.33
177,46.152,240.048,7.516
178,47.156,246.244,7.516
179,48.839,252.522,7.516
180,68.365,231.58,14.309
181,66.225,231.767,7.496
182,59.448,232.36,2.276
183,52.336,232.983,2.276
184,45.586,233.573,7.516
185,43.446,233.76,14.33
